x,y,class,unit_time,sequence_time,_id
27.394209,8.914339,1,1525111200.0,1525111200.0,66308.0
20.87441,-10.404833,1,1524985200.0,1524985200.0,65503.0
17.91023,21.250168,1,1533337200.0,1533337200.0,118863.0
-22.578035,-4.8129115,1,1516989600.0,1516989600.0,14420.0
-20.002356,10.639773,1,1542855600.0,1542855600.0,179675.0
5.617176,-7.3842535,1,1527958800.0,1527958800.0,84501.0
14.479386,33.223038,1,1528513200.0,1528513200.0,88043.0
34.62851,27.006529,1,1525248000.0,1525248000.0,67182.0
23.827995,17.570704,1,1533438000.0,1533438000.0,119507.0
2.1815643,4.9747458,1,1536948000.0,1536948000.0,141932.0
-20.465004,5.657098,1,1544756400.0,1544756400.0,191819.0
-17.986685,-0.5577976,1,1542546000.0,1542546000.0,177697.0
-26.968714,8.554282,1,1546117200.0,1546117200.0,200513.0
10.050573,16.48895,1,1536181200.0,1536181200.0,137033.0
18.065659,7.4629817,1,1522810800.0,1522810800.0,51611.0
-27.859528,7.9579954,1,1546106400.0,1546106400.0,200444.0
29.20253,22.092474,1,1525176000.0,1525176000.0,66722.0
-24.603315,25.962181,1,1520568000.0,1520568000.0,37282.0
-10.383044,22.909647,1,1540609200.0,1540609200.0,165323.0
16.26158,15.973995,1,1519693200.0,1519693200.0,31693.0
23.82354,38.18327,1,1530572400.0,1530572400.0,101199.0
37.257717,15.782455,1,1535659200.0,1535659200.0,133698.0
-9.198063,24.023592,1,1538283600.0,1538283600.0,150465.0
-32.99979,-25.817974,1,1515762000.0,1515762000.0,6577.0
11.525135,11.182217,1,1543885200.0,1543885200.0,186253.0
-22.20285,5.718656,1,1544742000.0,1544742000.0,191727.0
29.094744,22.75985,1,1525183200.0,1525183200.0,66768.0
12.664008,-19.311419,1,1525906800.0,1525906800.0,71391.0
-15.560919,18.430817,1,1540648800.0,1540648800.0,165576.0
15.734109,3.6112819,1,1523336400.0,1523336400.0,54969.0
34.238037,15.161931,1,1535688000.0,1535688000.0,133882.0
29.181007,36.670254,1,1530633600.0,1530633600.0,101590.0
-24.665905,26.208363,1,1520571600.0,1520571600.0,37305.0
31.531511,32.351974,1,1529690400.0,1529690400.0,95564.0
30.183548,33.616188,1,1529607600.0,1529607600.0,95035.0
-27.313099,7.4726167,1,1546099200.0,1546099200.0,200398.0
-23.848488,0.88718605,1,1544835600.0,1544835600.0,192325.0
10.469736,34.232864,1,1535313600.0,1535313600.0,131490.0
3.0956068,20.70215,1,1537948800.0,1537948800.0,148326.0
13.321408,-6.451642,1,1521010800.0,1521010800.0,40111.0
18.080544,21.762405,1,1533340800.0,1533340800.0,118886.0
-4.2930655,25.27841,1,1536620400.0,1536620400.0,139839.0
